Address;Price;Beds;Baths;Sizes
2108 W 134th St, Los Angeles, CA 90059;$638,000;3;2;1,127sqft
18012 Osborne St, Sherwood Forest, CA 91325;$1,700,000;4;2;2,371sqft
1128 S Serrano Ave Apt 204, Los Angeles, CA 90006;$648,000;2;2;930sqft
10028 Wisner Ave, Mission Hills, CA 91345;$859,000;4;3;1,901sqft
14632 Cohasset St, Van Nuys, CA 91405;$795,000;4;2;1,639sqft
14930 Canyon View Ct, Sylmar, CA 91342;$849,950;4;3;1,830sqft
5828 Irvine Ave, North Hollywood, CA 91601;$974,990;3;2;1,595sqft
446 Rustic Dr, Los Angeles, CA 90065;$1,495,000;2;2;1,811sqft
13154 Community St, Sun Valley, CA 91352;$769,800;3;2;1,456sqft
15541 Marilla St, North Hills, CA 91343;$1,150,000;5;2.5;2,625sqft
4117 Barryknoll Dr, Los Angeles, CA 90065;$840,000;2;2;972sqft
6620 Callicott Ave, West Hills, CA 91307;$875,000;4;2;1,570sqft
5801 Alcove Ave, Valley Village, CA 91607;$1,499,999;4;3;2,306sqft
19911 Ahwanee Ln, Porter Ranch, CA 91326;$1,250,000;5;3;2,405sqft
2111 S Highland Ave, Los Angeles, CA 90016;$1,499,000;3;2;1,728sqft
8936 W 25th St, Los Angeles, CA 90034;$1,799,000;2;2;1,413sqft
13117 Cranston Ave, Sylmar, CA 91342;$799,950;3;2;1,264sqft
11011 White Oak Ave, Granada Hills, CA 91344;$875,000;4;3;1,933sqft
3460 S Centinela Ave Apt 407, Los Angeles, CA 90066;$848,000;2;3;1,606sqft
22400 Bessemer St, Woodland Hills, CA 91367;$1,224,000;4;2.5;2,403sqft
6309 Morella Ave, North Hollywood, CA 91606;$1,100,000;3;3;2,523sqft
2402 Edgewater Ter, Los Angeles, CA 90039;$2,549,000;4;4;3,251sqft
8409 Lookout Mountain Ave, Los Angeles, CA 90046;$2,000,000;2;2;1,669sqft
4558 Farmdale Ave, Studio City, CA 91602;$999,000;2;1;1,520sqft
18261 Sugarman St, Tarzana, CA 91356;$1,389,000;3;2;1,577sqft
743 N June St, Los Angeles, CA 90038;$2,495,000;2;3.5;2,166sqft
4615 Finley Ave Apt 6, Los Angeles, CA 90027;$848,000;2;2;1,069sqft
17401 Klee St, Northridge, CA 91325;$1,550,000;3;4;2,971sqft
10639 Blix St, Toluca Lake, CA 91602;$2,399,000;5;4.5;3,941sqft
10648 Woodbridge St Unit 109, Toluca Lake, CA 91602;$925,000;2;2.5;1,470sqft
5817 W 78th Pl, Westchester, CA 90045;$1,750,000;4;3.5;1,896sqft
4819 Escobedo Dr, Woodland Hills, CA 91364;$1,749,000;5;4.5;3,199sqft
4640 Dunas Ln, Tarzana, CA 91356;$3,100,000;5;6.5;5,031sqft
3449 Scadlock Ln, Sherman Oaks, CA 91403;$2,449,000;4;3;2,459sqft
1655 Greenfield Ave Apt 17, Westwood Century City, CA 90025;$995,000;3;2.5;1,309sqft
1023 W Kensington Rd, Los Angeles, CA 90026;$1,950,000;4;4;2,972sqft
7320 Trask Ave, Playa Del Rey, CA 90293;$3,495,000;4;3.5;3,308sqft
24136 Hillhurst Dr, West Hills, CA 91307;$1,799,000;5;4;3,082sqft
6115 Eileen Ave, Los Angeles, CA 90043;$1,100,000;3;2;1,356sqft
9274 Warbler Way, Los Angeles, CA 90069;$4,950,000;5;5.5;5,029sqft
1000 S Westgate Ave Apt 318, Los Angeles, CA 90049;$849,000;2;2;1,077sqft
Address;Price;Beds;Baths;Sizes
6045 Lindley Ave Unit 36, Tarzana, CA 91356;$699,000;3;3;1,877sqft
9143 Noble Ave, North Hills, CA 91343;$745,000;3;4;1,906sqft
3528 E 8th St, Los Angeles, CA 90023;$530,000;2;1;949sqft
12421 Arbor Pl, Los Angeles, CA 90044;$680,000;2;3;1,853sqft
10930 Marklein Ave, Mission Hills, CA 91345;$824,999;3;2;2,011sqft
14000 Boxwood Pl, Panorama City, CA 91402;$699,000;3;2;1,654sqft
416 N Bixel St, Los Angeles, CA 90026;$799,000;3;2;1,658sqft
10614 Chalon Rd, Los Angeles, CA 90077;$32,000,000;6;6.5;10,682sqft
13747 Vanowen St Apt 203, Van Nuys, CA 91405;$380,000;2;2;871sqft
12640 Classics Dr, Granada Hills, CA 91344;$1,849,000;4;3;3,686sqft
8985 Cayuga Ave, Sun Valley, CA 91352;$899,900;5;3;2,048sqft
4805 Bellflower Ave Unit 208, North Hollywood, CA 91601;$698,000;2;2;1,160sqft
8641 Glenoaks Blvd Unit 214, Sun Valley, CA 91352;$359,900;1;1;556sqft
10055 Beachy Ave, Arleta, CA 91331;$1,350,000;5;4;3,208sqft
2476 Coolidge Ave, Los Angeles, CA 90064;$1,100,000;4;2.5;1,462sqft
8326 Densmore Ave, North Hills, CA 91343;$775,000;3;2;1,222sqft
3206 W 43rd Pl, Los Angeles, CA 90008;$1,260,000;4;4;4,042sqft
16656 Tuba St, North Hills, CA 91343;$875,000;3;2;1,627sqft
8018 Hesperia Ave, Reseda, CA 91335;$675,000;4;2;1,479sqft
8463 DE Soto Ave Unit 12, Canoga Park, CA 91304;$379,900;2;2;693sqft
4250 Don Carlos Dr, Baldwin Hills, CA 90008;$1,999,000;3;3.5;2,914sqft
6177 Outlook Ave, Los Angeles, CA 90042;$1,295,000;2;2;1,323sqft
2147 N Eastern Ave, Los Angeles, CA 90032;$899,999;4;2;1,740sqft
20340 Superior St, Chatsworth, CA 91311;$750,000;3;2;1,326sqft
3840 S Cochran Ave, Baldwin Hills, CA 90008;$1,788,000;6;5;4,574sqft
6718 Whitman Ave, Lake Balboa, CA 91406;$949,900;3;2;1,864sqft
15012 Valerio St, Van Nuys, CA 91405;$829,900;3;2;1,461sqft
5176 Medina Rd, Woodland Hills, CA 91364;$2,198,000;4;4.5;3,400sqft
15851 Ludlow St, Granada Hills, CA 91344;$1,019,998;3;2;1,862sqft
10036 Sunnybrae Ave, Chatsworth, CA 91311;$1,090,000;4;2;2,172sqft
22301 Gifford St, Canoga Park, CA 91303;$850,000;3;2;1,358sqft
11003 Exposition Blvd, Los Angeles, CA 90064;$1,770,000;3;2;The squareFeet cannot be shown
6732 W Hepburn Way, Los Angeles, CA 90038;$1,695,000;3;4;2,346sqft
429 N Spaulding Ave, Los Angeles, CA 90036;$2,199,000;6;4;3,781sqft
8300 Mariposa Ct, West Hills, CA 91304;$2,290,589;4;4.5;3,279sqft
1360 Shadowbrook Ter, Harbor City, CA 90710;$810,000;3;2.5;1,903sqft
9038 Cresta Dr, Los Angeles, CA 90035;$2,595,000;3;2;2,209sqft
17423 Hatteras St, Encino, CA 91316;$1,175,000;3;2;1,415sqft
6133 Orange St, Los Angeles, CA 90048;$2,595,000;8;8;5,904sqft
3900 Beethoven St Apt 101, Los Angeles, CA 90066;$975,000;2;2;1,277sqft
18145 Rosita St, Tarzana, CA 91356;$1,199,990;3;2;1,460sqft
6064 Hazelhurst Pl Unit 1, North Hollywood, CA 91606;$717,000;3;4;1,610sqft
13280 Dronfield Ave Unit 16, Sylmar, CA 91342;$615,000;3;3;1,472sqft
1007 S Record Ave, Los Angeles, CA 90023;$435,000;2;1;572sqft
3726 Dozier St, Los Angeles, CA 90063;$675,000;4;2;1,700sqft
2328 W 2nd St, Los Angeles, CA 90057;$749,000;2;2;881sqft
14307 Roscoe Blvd Unit 206, Panorama City, CA 91402;$440,000;2;2;1,308sqft
248 N Park View St, Los Angeles, CA 90026;$895,000;3;1.5;1,540sqft
9522 Anzac Ave, Los Angeles, CA 90002;$500,000;3;1;912sqft
18631 Collins St Apt 2, Tarzana, CA 91356;$625,000;2;3;1,212sqft
5349 Newcastle Ave Apt 31, Encino, CA 91316;$489,000;2;2;941sqft
8251 S San Pedro St, Los Angeles, CA 90003;$1,050,000;10;4;4,272sqft
8449 Cozycroft Ave, Winnetka, CA 91306;$799,900;4;2;1,479sqft
12938 Valleyheart Dr Apt 3, Studio City, CA 91604;$489,900;1;1;919sqft
20642 Acre St, Winnetka, CA 91306;$789,950;4;2;1,479sqft
252 W Santa Cruz St, San Pedro, CA 90731;$700,000;2;2;966sqft
3880 Fredonia Dr Apt D, Los Angeles, CA 90068;$875,000;2;2.5;1,511sqft
10635 Foothill Blvd, Lake View Terrace, CA 91342;$1,099,999;3;2.5;1,457sqft
4354 Prospect Ave, Los Angeles, CA 90027;$1,395,000;3;2;1,560sqft
14955 Lull St, Van Nuys, CA 91405;$749,999;3;2;1,353sqft
20237 Lassen St, Chatsworth, CA 91311;$849,000;3;2;1,710sqft
23411 Halldale Ave, Harbor City, CA 90710;$869,500;4;2;1,574sqft
1355 N Sierra Bonita Ave Apt 313, West Hollywood, CA 90046;$539,999;1;1;706sqft
4930 Wiota St, Los Angeles, CA 90041;$1,699,000;3;4;3,206sqft
2008 Penmar Ave, Venice, CA 90291;$1,695,000;3;3;2,007sqft
1400 N Coronado St, Los Angeles, CA 90026;$1,499,000;3;2;1,756sqft
1025 W 54th St, Los Angeles, CA 90037;$1,100,000;4;4;1,600sqft
310 N St Andrews Pl, Los Angeles, CA 90004;$1,899,000;8;6;5,466sqft
7100 Playa Vista Dr Apt 320, Playa Vista, CA 90094;$949,000;2;2;1,150sqft
21717 Eccles St, Canoga Park, CA 91304;$824,999;3;2;1,299sqft
17941 Karen Dr, Encino, CA 91316;$2,825,000;4;4.5;3,868sqft
9767 Sombra Valley Dr, Shadow Hills, CA 91040;$1,250,000;3;2;1,699sqft
10631 Foothill Blvd, Lake View Terrace, CA 91342;$999,999;2;1;1,056sqft
6427 Ben Ave, North Hollywood, CA 91606;$1,099,000;3;2;1,400sqft
1819 Workman St, Lincoln Heights, CA 90031;$1,599,988;30;24;2,869sqft
5925 Whitnall Hwy, North Hollywood, CA 91601;$899,999;2;1;902sqft
1948 S Crest Dr, Los Angeles, CA 90034;$3,450,000;5;4;4,385sqft
1135 S Crest Dr, Los Angeles, CA 90035;$2,950,000;4;3;2,306sqft
7840 W 81st St, Playa Del Rey, CA 90293;$2,995,000;4;3;3,222sqft
1921 Malcolm Ave Apt 101, Los Angeles, CA 90025;$1,095,000;2;2;1,549sqft
941 N Norman Pl, Los Angeles, CA 90049;$5,000,000;5;4.5;4,508sqft
4343 Clarissa Ave, Los Angeles, CA 90027;$3,350,000;4;6;4,660sqft
19120 Nordhoff St Unit 4, Northridge, CA 91324;$225,000;2;2;1,156sqft
9707 Pine Orchard St, Pacoima, CA 91331;$759,000;4;3;2,061sqft
14035 Astoria St Unit 130, Sylmar, CA 91342;$644,900;3;3;1,589sqft
420 N Avenue 64, Los Angeles, CA 90042;$989,000;4;2;1,498sqft
6000 Coldwater Canyon Ave Unit 4, North Hollywood, CA 91606;$325,000;2;1;1,100sqft
23806 Mobile St, West Hills, CA 91307;$899,000;3;1.5;1,582sqft
13074 Kismet Ave, Sylmar, CA 91342;$780,000;3;2;1,288sqft
645 W 9th St Apt 235, Los Angeles, CA 90015;$699,000;2;2;1,190sqft
13322 Berg St, Sylmar, CA 91342;$499,999;2;1;838sqft
9001 Mercedes Ave, Arleta, CA 91331;$685,000;3;2;1,231sqft
23351 Sandalwood St, West Hills, CA 91307;$1,399,000;5;3.5;2,622sqft
10004 Lasaine Ave, Northridge, CA 91325;$1,250,000;4;6;3,218sqft
130 N Catalina St, Los Angeles, CA 90004;$1,650,000;4;3;3,103sqft
5672 Valley Oak Dr, Los Angeles, CA 90068;$9,875,000;6;5.5;The squareFeet cannot be shown
17711 Margate St Apt 110, Encino, CA 91316;$499,000;2;1.5;1,149sqft
14947 Dickens St Apt 6, Sherman Oaks, CA 91403;$550,000;2;2;1,225sqft
24649 Calvert St, Woodland Hills, CA 91367;$1,399,000;4;2.5;2,208sqft
15050 Sherman Way Unit 167, Van Nuys, CA 91405;$470,000;2;2;1,136sqft
1339 N Formosa Ave, Los Angeles, CA 90046;$1,195,000;4;2;1,444sqft
5934 Rod Ave, Woodland Hills, CA 91367;$1,499,000;5;2.5;2,622sqft
681 Milford St, Los Angeles, CA 90042;$1,349,000;4;3;2,988sqft
2146 Malcolm Ave, Los Angeles, CA 90025;$1,995,000;3;1.5;The squareFeet cannot be shown
10753 Valley Spring Ln, Toluca Lake, CA 91602;$2,250,000;3;2;2,272sqft
1440 Veteran Ave Apt 218, Los Angeles, CA 90024;$469,000;1;1;649sqft
4635 Morella Ave, Valley Village, CA 91607;$3,995,000;5;5.5;4,823sqft
4760 Brewster Dr, Tarzana, CA 91356;$3,299,000;6;6;5,384sqft
8611 Burton Way Apt 18, Los Angeles, CA 90048;$1,145,000;2;2.5;1,535sqft
3925 Blue Canyon Dr, Studio City, CA 91604;$2,950,000;4;4.5;3,533sqft
14303 Magnolia Blvd, Sherman Oaks, CA 91423;$1,235,000;4;2;1,540sqft
11541 Canton Dr, Studio City, CA 91604;$2,849,000;5;4.5;3,479sqft
11692 Darlington Ave Unit 301, Los Angeles, CA 90049;$1,329,000;3;2.5;1,720sqft
1520 Andalusia Ave, Venice, CA 90291;$3,500,000;2;8;3,336sqft
107 N Swall Dr Apt 306, Los Angeles, CA 90048;$1,550,000;2;2.5;1,826sqft
852 N Occidental Blvd, Los Angeles, CA 90026;$1,650,000;8;4;4,784sqft
1200 Gordon St, Los Angeles, CA 90038;$1,800,000;4;4;2,796sqft
5234 Lemp Ave, Valley Village, CA 91601;$2,990,000;7;4.5;3,322sqft
3615 Tilden Ave, Los Angeles, CA 90034;$1,595,000;3;2;1,518sqft
1544 N Doheny Dr, Los Angeles, CA 90069;$4,250,000;4;4;2,722sqft
4837 Calhoun Ave, Sherman Oaks, CA 91423;$1,730,000;2;2;1,348sqft
7382 W 88th St, Playa Del Rey, CA 90045;$1,599,000;5;2;1,826sqft
1837 Beloit Ave, Los Angeles, CA 90025;$4,900,000;9;8;4,671sqft
1221 S Indiana St, East Los Angeles, CA 90023;$620,000;3;2;1,016sqft
14819 Magnolia Blvd Unit 3, Sherman Oaks, CA 91403;$704,000;2;2.5;1,360sqft
2014 W 79th St, Los Angeles, CA 90047;$859,000;4;2;1,331sqft
8850 Amboy Ave, Sun Valley, CA 91352;$749,000;4;2;1,207sqft
22054 Avenue San Luis, Woodland Hills, CA 91364;$799,000;3;2;1,334sqft
1572 238th St, Harbor City, CA 90710;$825,000;3;2;1,488sqft
15860 Lahey St, Granada Hills, CA 91344;$799,000;3;2;1,245sqft
5620 Yolanda Ave Apt 109, Tarzana, CA 91356;$469,900;2;2;965sqft
9735 Baden Ave, Chatsworth, CA 91311;$2,495,000;6;6.5;7,413sqft
19620 Sherman Way Unit 1, Reseda, CA 91335;$618,858;3;3;1,390sqft
432 W 109th Pl, Los Angeles, CA 90061;$879,000;7;3;2,127sqft
2665 S Longwood Ave, Los Angeles, CA 90016;$900,000;3;1;1,298sqft
850 S Shenandoah St Apt 105, Los Angeles, CA 90035;$829,000;2;2;1,250sqft
1745 Camino Palmero St Apt 530, West Hollywood, CA 90046;$589,950;2;2;1,144sqft
16128 Londelius St, North Hills, CA 91343;$998,500;3;2;1,946sqft
20641 Walnut Cir, Porter Ranch, CA 91326;$1,499,000;4;3;2,664sqft
18361 Strathern St Unit 3, Reseda, CA 91335;$499,000;3;3;1,529sqft
1951 N Beachwood Dr Apt 304, Los Angeles, CA 90068;$898,888;2;2.5;1,440sqft
3060 Belden Dr, Los Angeles, CA 90068;$3,195,000;3;3.5;4,050sqft
10073 Orcas Ave, Shadow Hills, CA 91040;$1,965,200;4;3;2,783sqft
6034 Burwood Ave, Los Angeles, CA 90042;$999,000;3;2;1,150sqft
22748 Pera Rd, Woodland Hills, CA 91364;$1,449,950;3;2.5;2,204sqft
22412 Bessemer St, Woodland Hills, CA 91367;$1,299,000;4;2.5;2,599sqft
5213 Irvington Pl, Los Angeles, CA 90042;$1,295,000;3;2;1,266sqft
5324 Beeman Ave, Valley Village, CA 91607;$3,100,000;5;5;3,545sqft
13346 W Washington Blvd, Culver City, CA 90066;$1,395,000;2;2.5;1,636sqft
1516 S Beverly Dr Apt 301, Los Angeles, CA 90035;$1,065,000;2;2.5;1,236sqft
5806 LA Mirada Ave, Los Angeles, CA 90038;$2,095,000;8;8;5,481sqft
1505 S Bentley Ave Apt 301, Los Angeles, CA 90025;$1,099,000;2;2;1,749sqft
2201 Selig Dr, Los Angeles, CA 90026;$1,050,000;3;2.5;1,407sqft
1925 S Beverly Glen Blvd Unit 43, Los Angeles, CA 90025;$1,099,000;2;2.5;1,689sqft
4063 Sunnyslope Ave, Sherman Oaks, CA 91423;$5,498,000;5;5;4,634sqft
2022 N Alvarado St, Silver Lakes, CA 90039;$2,750,000;5;5;3,150sqft
2429 N Commonwealth Ave, Los Angeles, CA 90027;$2,790,000;5;2;2,972sqft
2111 S Beverly Glen Blvd Apt 104, Los Angeles, CA 90025;$1,195,000;2;3;1,974sqft
16849 Adlon Rd, Encino, CA 91436;$2,749,000;4;3;3,227sqft
1912 S Westgate Ave, Los Angeles, CA 90025;$1,595,000;3;1;1,022sqft
764 W Elberon Ave, San Pedro, CA 90731;$1,099,000;3;2;1,500sqft
11319 Rose Ave, Los Angeles, CA 90066;$1,889,000;3;2;1,625sqft
4080 Glencoe Ave Unit 423, Marina del Rey, CA 90292;$1,268,000;1;2;1,340sqft
145 W 115th St, Los Angeles, CA 90061;$568,000;3;2;1,762sqft
738 S Los Angeles St Apt 207, Los Angeles, CA 90014;$459,000;1;1;901sqft
440 E 91st St, Los Angeles, CA 90003;$645,000;4;3;1,474sqft
11100 S Normandie Ave, Los Angeles, CA 90044;$719,900;6;4;2,847sqft
4502 S Van Ness Ave, Los Angeles, CA 90062;$850,000;3;2;1,584sqft
220 W 101st St, Los Angeles, CA 90003;$486,000;2;1;796sqft
4823 Cimarron St, Los Angeles, CA 90062;$998,000;4;3.5;2,000sqft
20224 Sherman Way Unit 54, Winnetka, CA 91306;$610,000;3;3;1,843sqft
18550 Hatteras St Unit 47, Tarzana, CA 91356;$699,000;3;2.5;1,319sqft
5013 5th Ave, Los Angeles, CA 90043;$999,900;4;2;1,924sqft
645 W 9th St Apt 440, Los Angeles, CA 90015;$628,000;2;2;1,190sqft
20056 Betz Dr, Winnetka, CA 91306;$789,000;3;2.5;1,822sqft
1453 W 88th St, Los Angeles, CA 90047;$785,000;3;2;1,473sqft
7050 Shoup Ave Unit 212, Canoga Park, CA 91303;$428,800;2;1;783sqft
9439 Lemona Ave, North Hills, CA 91343;$700,000;3;2.5;1,625sqft
2135 Bellevue Ave Apt 12, Los Angeles, CA 90026;$399,000;1;1;438sqft
17140 Burbank Blvd Unit 308, Encino, CA 91316;$719,999;2;2;1,736sqft
1464 S Dunsmuir Ave, Los Angeles, CA 90019;$1,045,000;3;1;962sqft
24914 Mandy Ct, Woodland Hills, CA 91367;$1,777,000;5;5;3,028sqft
2729 Chadwick Cir, Los Angeles, CA 90032;$995,000;3;2.5;1,410sqft
8043 Newcastle Ave, Reseda, CA 91335;$749,900;4;2;1,192sqft
7440 Madora Ave, Winnetka, CA 91306;$874,800;3;2;1,318sqft
515 E 21st St, Los Angeles, CA 90011;$850,000;5;3;2,154sqft
600 W 9th St Apt 703, Los Angeles, CA 90015;$489,000;1;1;754sqft
9149 Petit Ave, Northridge, CA 91343;$959,900;3;2;1,662sqft
10128 Gladbeck Ave, Northridge, CA 91324;$990,000;3;2;1,768sqft
17257 Lassen St, Northridge, CA 91325;$1,440,000;8;5.5;3,308sqft
20143 Baltar St, Winnetka, CA 91306;$899,999;3;2.5;1,733sqft
18249 Minnehaha St, Porter Ranch, CA 91326;$1,160,000;4;2;2,097sqft
2609 Gunnell Ave, San Pedro, CA 90732;$1,449,000;3;3;1,813sqft
18915 Braemore Rd, Porter Ranch, CA 91326;$989,000;4;2;1,737sqft
11337 Nebraska Ave Apt 301, Los Angeles, CA 90025;$874,000;2;2;1,207sqft
6678 Gross Ave, West Hills, CA 91307;$989,950;3;2;1,570sqft
2322 Berkeley Ave, Los Angeles, CA 90026;$1,489,000;5;3;2,029sqft
10327 Missouri Ave Apt 202, Los Angeles, CA 90025;$998,800;2;2;1,438sqft
3756 Dover Pl, Los Angeles, CA 90039;$1,495,000;4;2;1,960sqft
4534 Kingswell Ave Unit 36, Los Angeles, CA 90027;$2,500,000;5;4;4,754sqft
4826 Agnes Ave, Valley Village, CA 91607;$1,200,000;3;2;1,306sqft
132 N Swall Dr Unit 302, Los Angeles, CA 90048;$2,100,000;2;2;1,470sqft
8317 Delgany Ave, Playa Del Rey, CA 90293;$3,500,000;4;4.5;4,571sqft
6707 W 87th Pl, Los Angeles, CA 90045;$1,450,000;3;2;1,652sqft
467 N Bundy Dr, Los Angeles, CA 90049;$4,650,000;4;5;3,059sqft
14709 Forest Edge Dr, Sylmar, CA 91342;$779,000;4;3;1,932sqft
1956 E 105th St, Los Angeles, CA 90002;$536,000;4;2;1,430sqft
12542 Bernadette St, Pacoima, CA 91331;$729,000;4;3;1,583sqft
216 W 52nd Pl, Los Angeles, CA 90037;$520,000;2;1;960sqft
9650 Sepulveda Blvd Apt 13, North Hills, CA 91343;$625,000;3;2.5;1,841sqft
309 Main St, Venice, CA 90291;$1,150,000;2;1;624sqft
11928 S Central Ave, Los Angeles, CA 90059;$890,000;8;4;3,276sqft
1222 W 67th St, Los Angeles, CA 90044;$535,000;4;2;1,007sqft
5807 Bowcroft St Unit 4, Los Angeles, CA 90016;$519,000;2;1;900sqft
1220 W 25th St, Los Angeles, CA 90007;$1,799,000;4;3;2,100sqft
5320 Zelzah Ave Apt 304, Encino, CA 91316;$349,998;1;1;801sqft
10330 Haines Canyon Ave, Tujunga, CA 91042;$925,000;2;1;1,176sqft
320 S Ardmore Ave Apt 324, Los Angeles, CA 90020;$407,000;1;1;580sqft
8811 Baring Cross St, Los Angeles, CA 90044;$685,000;3;3;1,480sqft
8213 Lullaby Ln, Panorama City, CA 91402;$815,000;4;3;1,500sqft
14202 Emelita St, Sherman Oaks, CA 91401;$1,345,000;3;2;1,545sqft
428 E 64th St, Los Angeles, CA 90003;$799,900;6;4;1,716sqft
11138 Aqua Vista St Unit 66, North Hollywood, CA 91602;$425,000;1;1;636sqft
125 E 71st St, Los Angeles, CA 90003;$725,000;5;2;1,192sqft
436 S Virgil Ave Apt 411, Los Angeles, CA 90020;$699,000;2;2;1,013sqft
1155 S Grand Ave Unit 2204, Los Angeles, CA 90015;$6,995,000;3;4;3,670sqft
1900 Vine St Apt 304, Los Angeles, CA 90068;$869,000;2;2;1,511sqft
19540 Sherman Way Unit 202, Reseda, CA 91335;$499,000;2;3;1,074sqft
12140 Hoyt St, Lake View Terrace, CA 91342;$725,000;3;2;1,188sqft
1805 S Leland St, San Pedro, CA 90731;$888,000;2;1;1,206sqft
2436 Gramercy Park, Los Angeles, CA 90018;$1,495,000;3;2.5;2,677sqft
22936 Vose St, West Hills, CA 91307;$1,099,000;4;2;1,754sqft
116 1/2 N Sycamore Ave, Los Angeles, CA 90036;$1,275,000;2;2;1,633sqft
4630 Gershwin Pl, Woodland Hills, CA 91364;$1,695,000;4;3;2,145sqft
2332 Fox Hills Dr Apt 101, Los Angeles, CA 90064;$959,000;2;2;1,431sqft
1201 Roxbury Dr Apt 206, Los Angeles, CA 90035;$1,099,000;2;2;1,520sqft
761 W 10th St, San Pedro, CA 90731;$750,000;2;2;1,144sqft
17366 W Sunset Blvd Unit 203B, Pacific Palisades, CA 90272;$1,030,000;1;1;807sqft
10777 Wilshire Blvd Unit 505, Los Angeles, CA 90024;$2,549,000;2;3;1,740sqft
4050 Glencoe Ave Apt 323, Marina del Rey, CA 90292;$769,000;1;2;890sqft
2245 N Berendo St, Los Angeles, CA 90027;$4,995,000;4;4.5;4,979sqft
12451 Killion St, Valley Village, CA 91607;$1,295,000;3;2;1,428sqft
12615 Westminster Ave, Los Angeles, CA 90066;$3,995,000;4;4.5;3,618sqft
632 E 75th St, Los Angeles, CA 90001;$550,000;4;2;2,093sqft
10628 Keoni Ln Unit 6, Granada Hills, CA 91344;$939,900;5;3;2,589sqft
5350 White Oak Ave Apt 210, Encino, CA 91316;$559,000;2;2;1,426sqft
830 E 73rd St, Los Angeles, CA 90001;$500,000;3;1;1,089sqft
1610 E 24th St, Los Angeles, CA 90011;$429,000;2;1;648sqft
5460 White Oak Ave Unit E215, Encino, CA 91316;$375,000;2;2;990sqft
7125 White Oak Ave, Reseda, CA 91335;$885,000;4;2.5;2,016sqft
546 N Sierra Bonita Ave, Los Angeles, CA 90036;$1,199,000;2;1;979sqft
25657 Pine Creek Ln Unit 23, Wilmington, CA 90744;$425,000;1;1;849sqft
4186 S Hobart Blvd, Los Angeles, CA 90062;$975,000;3;3.5;1,528sqft
10061 Melinda Way Unit 2, Northridge, CA 91325;$736,988;2;2.5;1,724sqft
20304 Londelius St, Winnetka, CA 91306;$800,000;3;2;1,473sqft
10620 Fernglen Ave, Tujunga, CA 91042;$699,999;2;1;875sqft
1918 E 105th St, Los Angeles, CA 90002;$539,000;4;1;1,188sqft
13197 Cutler Pl, Sylmar, CA 91342;$750,000;3;2;1,472sqft
1127 S Victoria Ave, Los Angeles, CA 90019;$1,549,000;3;2;1,970sqft
6615 Makee Ave, Los Angeles, CA 90001;$925,000;7;3;The squareFeet cannot be shown
9154 Hayvenhurst Ave, North Hills, CA 91343;$899,000;3;2;1,702sqft
2972 Ripple Pl Apt 203, Los Angeles, CA 90039;$799,000;3;2.5;1,607sqft
22927 W Saticoy St, West Hills, CA 91304;$799,000;3;2;1,290sqft
9650 S Western Ave, Los Angeles, CA 90047;$825,000;6;4;1,724sqft
7858 Whitsett Ave, North Hollywood, CA 91605;$1,199,900;4;2;1,535sqft
23321 Vanowen St, Los Angeles, CA 91307;$1,111,000;4;2.5;1,947sqft
16 Park Ave, Venice, CA 90291;$5,500,000;7;6;4,428sqft
19221 Napa St, Northridge, CA 91324;$850,000;3;2;1,232sqft
17562 Cantlay St, Van Nuys, CA 91406;$865,000;3;2;1,036sqft
1433 Lomita Blvd Unit 2, Harbor City, CA 90710;$699,000;3;2.5;1,456sqft
18113 Hatteras St, Tarzana, CA 91356;$1,299,000;4;3;2,440sqft
965 Dewey Ave, Los Angeles, CA 90006;$1,398,000;3;2;1,772sqft
22373 Macfarlane Dr, Woodland Hills, CA 91364;$1,550,000;4;3;2,232sqft
8902 Hargis St, Los Angeles, CA 90034;$2,195,000;4;3;1,749sqft
8065 Nardian Way, Los Angeles, CA 90045;$2,290,000;4;3;2,168sqft
2030 Manning Ave, Los Angeles, CA 90025;$2,195,000;3;2;1,726sqft
23533 Canzonet St, Woodland Hills, CA 91367;$1,498,000;3;2;2,142sqft
3661 S Bentley Ave, Los Angeles, CA 90034;$1,950,000;4;3;2,368sqft
5510 Burnet Ave, Sherman Oaks, CA 91411;$1,100,000;3;2;1,468sqft
10526 Ohio Ave, Los Angeles, CA 90024;$5,495,000;5;7;5,827sqft
12024 Beatrice St, Los Angeles, CA 90230;$1,849,000;4;2;1,900sqft
1077 S Norton Ave, Los Angeles, CA 90019;$3,590,000;8;6;4,527sqft
10716 Moorpark St, Toluca Lake, CA 91602;$1,425,000;2;1;1,164sqft
1905 Manning Ave Unit 202, Los Angeles, CA 90025;$1,248,000;3;3;2,034sqft
1217 Elm St, Venice, CA 90291;$2,499,000;4;5;1,525sqft
3548 Sabina St, Los Angeles, CA 90023;$659,000;3;3;1,986sqft
1946 W 65th Pl, Los Angeles, CA 90047;$595,000;2;1;1,232sqft
5330 Zelzah Ave Apt 6, Encino, CA 91316;$485,000;2;2;1,051sqft
14031 Astoria St Unit 102, Sylmar, CA 91342;$610,000;3;2.5;1,649sqft
7012 6th Ave, Los Angeles, CA 90043;$865,000;3;2;1,412sqft
6877 Yeager Pl, Los Angeles, CA 90068;$1,350,000;3;2;1,568sqft
655 S Hope St Unit 1103, Los Angeles, CA 90017;$488,000;1;1;530sqft
