Address;Price;Beds;Baths;Sizes
417 N Serrano Ave, Los Angeles, CA 90004;$1,700,000;4;3;3,088sqft
423 N Serrano Ave, Los Angeles, CA 90004;$1,710,000;3;3;2,696sqft
11915 Darlington Ave, Los Angeles, CA 90049;$7,200,000;14;12;8,260sqft
6704 Kester Ave, Van Nuys, CA 91405;$1,600,000;2;1;1,228sqft
1753 N Van Ness Ave, Los Angeles, CA 90028;$3,375,000;5;4;2,713sqft
10580 Wilshire Blvd NW Unit 17, Los Angeles, CA 90024;$2,550,000;3;3;2,524sqft
4922 Lynn St, Los Angeles, CA 90042;$1,299,000;4;2;1,456sqft
15143 Erwin St, Van Nuys, CA 91411;$3,250,000;22;12;8,320sqft
21907 De La Osa St, Woodland Hills, CA 91364;$1,180,000;3;2;1,535sqft
22011 Calle Milagros, Chatsworth, CA 91311;$1,999,990;5;4.5;The squareFeet cannot be shown
3621 May St, Los Angeles, CA 90066;$2,682,000;4;3;2,368sqft
7812 7822 W Manchester Ave, Playa Del Rey, CA 90293;$5,400,000;16;14;9,522sqft
8331 Penfield Ave, Winnetka, CA 91306;$830,000;3;2.5;1,936sqft
890 Linda Flora Dr, Los Angeles, CA 90049;$25,950,000;6;7.5;9,171sqft
9960 Owensmouth Ave Unit 40, Chatsworth, CA 91311;$475,000;2;2;1,375sqft
1111 S Grand Ave Apt 706, Los Angeles, CA 90015;$599,000;1;1;1,100sqft
1101 S Harvard Blvd Unit 508, Los Angeles, CA 90006;$799,000;2;2;1,284sqft
8601 Sunland Blvd Unit 37, Sun Valley, CA 91352;$549,000;3;1.5;1,333sqft
13825 Beaver St Unit 17, Sylmar, CA 91342;$450,000;3;2;1,146sqft
3859 Denker Ave, Los Angeles, CA 90062;$850,000;4;2;1,372sqft
832 N Sycamore Ave, Los Angeles, CA 90038;$2,075,000;5;4;2,858sqft
213 Rosemont Ave, Los Angeles, CA 90026;$899,000;3;2;1,092sqft
4744 Ben Ave Unit 2, Valley Village, CA 91607;$620,000;2;1.5;895sqft
4637 Willis Ave Unit 306, Sherman Oaks, CA 91403;$650,000;2;2;1,216sqft
7353 Newcastle Ave, Reseda, CA 91335;$799,900;3;2;1,464sqft
20926 Brighton Ave, Torrance, CA 90501;$799,000;3;1;1,105sqft
3740 Santa Rosalia Dr Apt 423, Baldwin Hills, CA 90008;$639,000;2;2;1,020sqft
3000 Benedict Canyon Dr, Beverly Hills, CA 90210;$22,995,000;5;8;11,043sqft
20307 Hartland St, Winnetka, CA 91306;$1,199,900;4;3.5;2,160sqft
401 N Coronado St, Los Angeles, CA 90026;$1,600,000;6;4;4,294sqft
640 N Mariposa Ave, Los Angeles, CA 90004;$1,790,000;5;4.5;2,832sqft
1032 W Dolores St, Wilmington, CA 90744;$925,000;4;3;1,639sqft
8707 Falmouth Ave Unit 121, Playa Del Rey, CA 90293;$775,000;2;2;975sqft
11129 Eton Ave, Chatsworth, CA 91311;$1,450,000;4;3;2,763sqft
1922 Whitmore Ave, Los Angeles, CA 90039;$985,000;3;2;1,310sqft
2789 McConnell Dr, Los Angeles, CA 90064;$8,995,000;7;6.5;6,656sqft
6077 Selma Ave, Hollywood, CA 90028;$1,595,000;2;2;1,321sqft
3924 W Adams Blvd, Los Angeles, CA 90018;$1,500,000;6;4;2,940sqft
721 N Gaffey Pl, San Pedro, CA 90731;$940,000;7;3;2,699sqft
16021 Victory Blvd, Van Nuys, CA 91406;$1,750,000;9;6;4,812sqft
915 W 21st St, Los Angeles, CA 90007;$1,300,000;5;4;2,236sqft
4440 Ensenada Dr, Woodland Hills, CA 91364;$1,250,000;4;3;1,748sqft
1759 Silver Lake Blvd, Los Angeles, CA 90026;$1,330,000;2;2;The squareFeet cannot be shown
3903 Via Dolce, Marina del Rey, CA 90292;$2,595,000;3;3;2,578sqft
